post_id,language,trid,date,slug,file,http,looks_like_duplicate,original_file,original_present
1,,,2025-09-16,how-ai-tools-are-transforming-the-way-developers-write-code,2025/09/blog-article-image-1.webp,404,yes,,no
118272,en,161321,2026-06-25,radio-television-serbia-broadcasts-report-on-berlin-schiller-institute-conference,2026/06/Serbia-TV-report-1.jpg,404,yes,,no
119519,de,160880,2026-06-23,live-dialog-mit-helga-zepp-larouche-die-grossartige-menschheit-muss-sich-entscheiden,2026/06/Webcast-24-Juni-2026-deutsch-1.jpg,404,yes,,no
119684,de,161335,2026-07-27,jugendbewegung-des-schiller-instituts-erzielt-einen-wichtigen-durchbruch,2026/07/youth-thumbnail-1.png,404,yes,2026/07/youth-thumbnail.png,yes
119871,de,161352,2026-08-20,aufruf-an-papst-leo-xiv-einen-weltgipfel-zu-organisieren-um-die-fragen-des-friedens-und-der-nuklearen-abruestung-anzugehen,2026/08/Pope_Leo_XIV_3_3x4_cropped-1.png,404,yes,2026/08/Pope_Leo_XIV_3_3x4_cropped.png,yes
