legacy_id,language,trid,source_language
45447,en,19271,
45498,en,19277,
45624,de,19290,
45628,en,19292,
45640,de,19292,en
45740,en,19308,
45752,de,19310,
45757,de,19311,
46061,en,19339,de
46059,de,19339,
46066,de,19340,
46068,en,19340,de
46080,de,19343,
46092,en,19343,de
46096,de,19346,
46108,en,19346,de
46113,en,19350,
46132,de,19354,
46137,en,19355,
46164,de,19360,
46167,de,19361,
46181,en,19361,de
46185,en,19366,
46204,de,19369,
46206,de,19370,
46211,de,19371,
46237,en,19371,de
46251,de,19377,
46254,en,19379,
46257,de,19381,
46270,en,19381,de
46321,de,19389,
46294,en,19385,
46327,en,19390,
46341,de,19393,
46347,de,19395,
46360,en,19395,de
46364,de,19398,
46366,de,19399,
46378,en,19399,de
46382,de,19402,
46394,en,19402,de
46434,en,19407,
46466,en,19411,
46474,en,19412,
46495,en,19416,
46508,de,19418,
52741,ru,20344,
46520,de,19420,
46522,en,19420,de
46525,de,19421,
46528,de,19423,
46540,en,19423,de
46543,en,19425,
46559,de,19429,
46573,en,19429,de
46578,de,19432,
46591,de,19434,
46593,en,19435,
46606,de,19437,
46620,de,19441,
46623,en,19443,
46635,de,19445,
46647,en,19445,de
46651,de,19448,
46684,en,19448,de
46622,en,19442,
46687,en,19452,
46689,en,19453,
46704,de,19456,
46707,en,19456,de
46710,ru,19456,de
46714,de,19458,
46717,en,19460,
46719,en,19461,
46735,en,19466,
46752,de,19472,
46760,en,19474,
46755,de,19473,
47628,de,19600,
46772,en,19476,
46784,en,19478,
46797,de,19478,en
46800,en,19480,
47088,de,19480,en
46812,en,19482,
46834,en,19485,
47091,de,19485,en
46847,en,19487,
47094,de,19487,en
46859,en,19489,
47097,de,19491,en
46871,en,19491,
47100,de,19526,
46883,en,19493,
47102,de,19493,en
46896,en,19495,
47105,de,19495,en
46908,en,19497,
47107,de,19497,en
46924,en,19500,
47110,de,19500,en
46936,en,19502,
46948,en,19504,
46960,en,19506,
47126,de,19506,en
46973,en,19508,
47130,de,19531,
46985,en,19510,
47143,de,19510,en
46997,en,19512,
47145,de,19512,en
47009,en,19514,
47148,de,19514,en
47617,de,19597,
47044,en,19519,
47326,de,19554,
47338,en,19554,de
52745,ru,20345,
47413,en,19563,
47425,en,19565,
47437,de,19565,en
47440,de,19567,
47623,de,19598,
47474,en,19573,
47486,en,19575,
47498,de,19575,en
47501,en,19578,
47513,de,19578,en
47516,en,19581,
47528,de,19581,en
47531,de,19583,
47543,en,19583,de
47568,de,19590,en
47570,de,19591,
47551,de,19588,
47564,en,19588,de
47548,en,19586,
47625,de,19599,
47594,en,19594,
47696,en,19611,
47699,de,19612,
47704,de,19615,
47718,en,19619,
47731,de,19622,
47783,de,19627,
47795,en,19627,de
47803,en,19630,
47819,de,19634,
47821,de,19635,
47833,de,19642,
47847,en,19645,
47852,en,19647,
47866,en,19650,
47878,de,19652,
47882,en,19653,
47963,de,19664,
47975,en,19664,de
47989,en,19668,
48132,en,19682,
48170,en,19686,
48391,de,19686,en
48184,de,19690,
48188,de,19693,
48190,de,19694,
48192,en,19694,de
48195,en,19695,
48394,en,19715,
48397,de,19716,
48466,de,19726,
48469,de,19727,
48471,de,19728,
48473,en,19728,de
48476,en,19729,
48495,en,19731,
48513,en,19736,
48536,en,19740,
48569,de,19745,
48576,de,19750,
48595,en,19753,
48608,en,19755,
48677,en,19761,
48698,de,19765,
48702,de,19766,
48709,en,19768,
48734,en,19773,
48755,de,19777,
48757,en,19778,
48793,de,19784,
48795,en,19784,de
48813,de,19788,
48800,en,19785,
48820,en,19789,
48835,de,19792,
48837,de,19793,
48840,en,19794,
52966,en,20373,
48917,de,19805,
48919,de,19806,
48931,en,19806,de
53346,ru,20422,en
48934,en,19808,
48938,en,19809,
48943,de,19812,
49178,en,19812,de
48955,de,19814,
49182,de,19836,
49311,en,19836,de
49186,en,19838,
49188,de,19838,en
49323,en,19868,
49460,de,19886,
49467,en,19887,
49479,en,19889,
49493,en,19895,
49500,de,19898,
49509,de,19900,
49514,en,19903,
49542,de,19907,
49545,en,19908,
49558,en,19910,
49578,de,19916,
49581,de,19918,
49589,en,19918,de
49583,de,19919,
49586,en,19920,
49774,de,19920,en
49585,en,19921,
49627,en,19922,
