person_key,canonical_name,honorific,affiliation,country,person_type,aliases,source_refs,occurrences,needs_review,notes,final_action,reviewer
english-translation,English Translation:,,,,speaker,English Translation:,yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
eric-walcott-director,Eric Walcott – Director,,,,speaker,"Eric Walcott – Director, Strategic Partnerships at Institute of Caribbean Studies, Washington, D.C",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
ernest-johnson,Dr. Ernest Johnson (U.S.) ,,,,speaker,"Dr. Ernest Johnson (U.S.) , President Emeritus Louisiana NAACP, attorney, professor of law Southern University Law Cente",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
eugene-simpson,Eugene Simpson: “Hall Johnson and the Dvorak Dream: From Spi,,,,speaker,"Eugene Simpson: “Hall Johnson and the Dvorak Dream: From Spiritual to Art Song""",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
eugene-thamon-simpson,Eugene Thamon Simpson,,,,speaker,"Eugene Thamon Simpson, bass",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
everett-suttle,Everett Suttle,,,,speaker,"Everett Suttle, Tenor",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
faiyaz-murshid-kazi,Mr. Faiyaz Murshid Kazi,,,,speaker,"Mr. Faiyaz Murshid Kazi, Counsellor, the Permanent Mission of Bangladesh to the United Nations addresses the Schiller In",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
felix-mendelssohn-elijah,Felix Mendelssohn: Elijah,,,,speaker,"Felix Mendelssohn: Elijah, No. 14- Lord God of Abraham, Isaac and Israel",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
folker-hellmeyer,Folker Hellmeyer,,,,speaker,"Folker Hellmeyer, Economist , Germany",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
food-producers-roundtable,Food Producers Roundtable,,,,speaker,Food Producers Roundtable,yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
foreign-director-for-bonifica-s-p-a,Foreign Director for Bonifica S.p.A,,,,speaker,"Foreign Director for Bonifica S.p.A, Italy, Franco Persio Bocchetto's address to the Schiller Institute's conference, ""F",yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
founder-and-artistic-director,Founder and Artistic Director,,,,speaker,"Founder and Artistic Director, Harlem Opera Theater.",yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
founder-and-chairman,Founder and Chairman,,,,speaker,"Founder and Chairman, Schiller Institute",yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
francesco-battaglia,Francesco Battaglia,,,,speaker,Francesco Battaglia,yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
frank-endres-california,Frank Endres; California,,,,speaker,"Frank Endres; California, member of the National Farmers Organization for 63 years,",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
frank-mathis-performs-glinka-s,"Frank Mathis performs Glinka's ""I Remember a Wondrous Moment",,,,speaker,"Frank Mathis performs Glinka's ""I Remember a Wondrous Moment""",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
franklin-mireri,Franklin Mireri,,,,speaker,"Franklin Mireri, YouLead Partnerships Coordinator, Tanzania: ""The Greatest Want of the World is for True Leaders.""",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
fred-m-membe,Dr. Fred M'membe,,,,speaker,"Dr. Fred M'membe, (Zambia), President of the Socialist Party of Zambia; former editor, Zambia Post; former Presidential ",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
friedrich-schiller-birthday-celebration-concert,Friedrich Schiller Birthday Celebration Concert,,,,speaker,"Friedrich Schiller Birthday Celebration Concert, Part Two",yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
geoff-young,Geoff Young,,,,speaker,Geoff Young,yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
george-koo,George Koo,,,,speaker,"George Koo, Retired Business Consultant; Chairman, Burlingame Foundation",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
german-economist,German Economist (Germany),,,,speaker,German Economist (Germany),yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
gian-marco-sanna-geigenvirtuose,Gian Marco Sanna – Geigenvirtuose,,,,speaker,"Gian Marco Sanna – Geigenvirtuose, Gründer und künstlerischer Leiter des Camerata-Projekts, London",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
gian-marco-sanna-violinist,Gian Marco Sanna – Violinist,,,,speaker,"Gian Marco Sanna – Violinist, Founder and artistic director of The Geminiani Project, London",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
glenn-diesen,Glenn Diesen (Norway),,,,speaker,"Glenn Diesen (Norway), Professor and Author",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
gretchen-small,Gretchen Small (U.S.),,,,speaker,"Gretchen Small (U.S.), Executive Intelligence Review",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
grusswort-von-helga-zepp-larouche,Grußwort von Helga Zepp-LaRouche,,,,speaker,"Grußwort von Helga Zepp-LaRouche, Präsidentin des Schiller-Institutes",yt-segmentation,1,1,added by reconcile from video-segmentation,merge:helga-zepp-larouche,mk
grussworte-von-lynne-speed,Grußworte von Lynne Speed,,,,speaker,"Grußworte von Lynne Speed, LaRouche Political Action Committee in New York City.",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
h-t-burleigh,H.T. Burleigh,,,,speaker,"H.T. Burleigh, arr: ""Deep River""",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
ha-b-pe-o,Натлья Витренко,,,,speaker,"Натлья Витренко, экономист, председатель Прогрессивной социалистической партии Украины, Киев",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
haidar-al-fuadi-al-atabe,Haidar Al-Fuadi Al-Atabe,,,,speaker,Haidar Al-Fuadi Al-Atabe,yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
hal-cooper-jr,Dr. Hal Cooper Jr.,,,,speaker,"Dr. Hal Cooper Jr., Chairman, Seattle Freight Transport Advisory Board; expert on the proposed Bering Strait railroad tu",yt-segmentation,1,1,added by reconcile from video-segmentation,merge:hal-cooper,mk
hans-christof-von-sponeck,Hans-Christof von Sponeck,,,,speaker,Hans-Christof von Sponeck,yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
hans-kochler,Prof Hans Köchler,,,,speaker,"Prof Hans Köchler, President of I.P.O.",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
hans-von-helldorff,Hans von Helldorff,,,,speaker,"Hans von Helldorff, Spokesman, Federal Association of the German Silk Road Initiative",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
helga-zepp-larouche-in-paris,"Helga Zepp-LaRouche in Paris: ""It's now or never for the New",,,,speaker,"Helga Zepp-LaRouche in Paris: ""It's now or never for the New Silk Road""",yt-segmentation,1,1,added by reconcile from video-segmentation,merge:helga-zepp-larouche,mk
hisham-sharaf,Hisham Sharaf,,,,speaker,Hisham Sharaf,yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
horst-joachim-ludecke,Prof. Horst-Joachim Lüdecke,,,,speaker,Prof. Horst-Joachim Lüdecke,yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
hossein-mousavian,Amb. Hossein Mousavian (Iran),,,,speaker,"Amb. Hossein Mousavian (Iran), former ambassador from Iran to Germany",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
huang-ping,—H.E. Ambassador Huang Ping,,,,speaker,—H.E. Ambassador Huang Ping,yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
i-allegro,I. Allegro,,,,speaker,I. Allegro,yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
i-plenary-session,I. PLENARY SESSION (9:00 a.m. EDT),,,,speaker,I. PLENARY SESSION (9:00 a.m. EDT),yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
if-brazil-resists,If Brazil resists,,,,speaker,"If Brazil resists, and does not submit, it could survive. If the average interest rate could kept below 10% in Brazil, a",yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
ii-economy,II. ECONOMY (11:00 a.m. EDT),,,,speaker,II. ECONOMY (11:00 a.m. EDT),yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
iii-security,III. SECURITY (90 min.),,,,speaker,III. SECURITY (90 min.),yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
